@relation Old_Data_Final_24_Raw_Weka-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P50.0-S1-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1

@attribute meanA numeric
@attribute meanAstd numeric
@attribute meangstd numeric
@attribute stdmeanA numeric
@attribute stdstda numeric
@attribute meang numeric
@attribute skewmeanA numeric
@attribute skewstdA numeric
@attribute skewG numeric
@attribute minmeanA numeric
@attribute minstdA numeric
@attribute minG numeric
@attribute maxmeanA numeric
@attribute maxstdA numeric
@attribute maxmG numeric
@attribute kurtmeanA numeric
@attribute kurtstdA numeric
@attribute kurtG numeric
@attribute entromeanA numeric
@attribute entrostdA numeric
@attribute entroG numeric
@attribute iqrmeanA numeric
@attribute iqrstdA numeric
@attribute iqrG numeric
@attribute class {1,0}

@data
1.017204,0.058578,0.642445,0.053185,0.048299,0.526831,0.934144,1.157455,1.658387,0.928243,0.000631,0.243433,1.085105,0.219084,1.28766,0.579301,0.791138,3.65774,4.6043,4.30186,4.511478,0.03373,0.054228,0.170014,1
1.003853,0.005816,0.168383,0.003261,0.002917,0.207648,-0.410724,0.751071,0.904551,0.990956,0.000433,0.050085,1.01151,0.016684,0.481403,0.459438,-0.048304,0.222102,4.605161,4.467455,4.420494,0.005208,0.004814,0.117449,1
1.003775,0.023734,0.368631,0.025993,0.025151,0.368631,1.852045,2.815163,0.596992,0.967968,0.000301,0.079064,1.103901,0.134926,0.843913,4.331743,8.65553,-0.43239,4.60484,4.203549,4.460488,0.02984,0.018948,0.274239,1
1.00433,0.016759,0.279067,0.014712,0.009971,0.255733,0.474464,0.757765,0.330055,0.98422,0.000849,0.118825,1.061673,0.082738,0.424964,0.851071,0.266029,-0.800815,4.605063,4.519563,4.525149,0.021538,0.031835,0.123389,1
1.004302,0.009317,0.27116,0.002629,0.003489,0.23364,0.456424,0.464779,0.607188,0.999489,0.000553,0.103919,1.010402,0.019276,0.431315,-0.543562,0.111179,-0.785866,4.605168,4.54379,4.370444,0.003429,0.003928,0.331182,1
1.007222,0.025733,0.272286,0.017311,0.020853,0.282889,0.21874,0.395442,0.025378,0.952886,0.000703,0.130377,1.025746,0.062478,0.406036,-0.029967,-0.17208,-0.440626,4.605116,4.428032,4.546752,0.022145,0.011951,0.105488,1
1.004974,0.00634,0.116484,0.003239,0.004435,0.083714,0.27326,1.196115,1.510459,0.997671,0.000594,0.041085,1.014954,0.017812,0.25266,-0.010399,1.075931,1.543791,4.605165,4.405817,4.498524,0.004432,0.004018,0.035003,1
1.005696,0.021741,0.170564,0.018072,0.015386,0.180267,-0.167541,0.933994,0.544671,0.960455,0.000288,0.042435,1.035274,0.054929,0.374704,-0.295065,0.492412,-0.594416,4.605006,4.326154,4.502893,0.024218,0.018003,0.104694,1
1.004193,0.008537,0.091392,0.010514,0.006343,0.095938,1.155867,2.72085,0.763167,0.995683,0.000917,0.022176,1.05622,0.044049,0.063279,3.995374,8.650076,-0.337272,4.605081,4.386235,4.43755,0.007135,0.00454,0.019506,1
1.005996,0.02084,0.322141,0.015714,0.010393,0.399514,-0.117655,1.2768,-0.215487,0.960909,0.000256,0.106378,1.07027,0.044654,0.377143,1.428288,0.618013,-1.063547,4.604937,4.164935,4.561634,0.010954,0.023563,0.171861,1
1.00581,0.035779,0.288327,0.028222,0.029921,0.276045,-0.074157,0.908558,-0.77846,0.943583,0.002171,0.098542,1.071891,0.122599,0.413809,0.108102,-0.341033,-0.835875,4.604712,4.28835,4.563096,0.029159,0.033589,0.112399,1
1.00427,0.004339,0.125238,0.002933,0.002031,0.129925,-0.422195,0.601418,0.926799,0.994954,0.000185,0.020843,1.010612,0.010161,0.367463,0.044526,-0.049952,0.241073,4.605165,4.469493,4.409961,0.003065,0.003215,0.12671,1
1.004767,0.026768,0.256638,0.017511,0.018452,0.370184,1.316201,1.341488,-0.317094,0.957034,0.000112,0.084378,1.080285,0.0871,0.492143,2.462511,1.402063,-0.820021,4.604911,4.154046,4.543988,0.016225,0.024002,0.139781,1
1.006712,0.014925,0.240016,0.012013,0.01648,0.295552,1.04223,2.323238,0.547959,0.980678,0.000105,0.159005,1.055198,0.090577,0.520875,2.164736,6.228307,-0.737592,4.605096,4.254059,4.503288,0.012705,0.013714,0.187663,1
