@relation New_Data_Final_Program_24_F_Raw_weka
@attribute meanA      real
@attribute meanAstd   real
@attribute meangstd   real
@attribute stdmeanA   real
@attribute stdstda    real
@attribute meang      real
@attribute skewmeanA  real
@attribute skewstdA   real
@attribute skewG      real
@attribute minmeanA   real
@attribute minstdA    real
@attribute minG       real
@attribute maxmeanA   real
@attribute maxstdA    real
@attribute maxmG      real
@attribute kurtmeanA  real
@attribute kurtstdA   real
@attribute kurtG      real
@attribute entromeanA real
@attribute entrostdA  real
@attribute entroG     real
@attribute iqrmeanA   real
@attribute iqrstdA    real
@attribute iqrG       real
@attribute class {1,0}

@data
1.001940364,0.03201458,0.520767388,0.017043756,0.040480283,0.520767388,-0.556423595,2.258077475,-0.251599517,0.940298417,0.005450702,0.221042539,1.048328324,0.188846507,0.7957291,2.90184777,4.478052371,-0.379542647,4.605025005,4.051812204,4.565706257,0.014416214,0.029939536,0.178258698,1
1.00676276,0.049853709,0.554473294,0.024074922,0.042618977,0.554473294,-0.563106658,1.470284227,-0.140954537,0.938279166,0.005013995,0.380004862,1.056457705,0.188846507,0.697573759,0.976705731,1.443259868,-0.409454794,4.604882871,4.291922911,4.595836202,0.022313473,0.043307664,0.091016467,1
1.001171852,0.042969578,0.502251115,0.026673885,0.029997181,0.502251115,-0.433376899,1.464191651,-0.140745146,0.925915603,0.00431763,0.255114546,1.056457705,0.152179266,0.741631023,0.844327733,2.496243967,-0.758677631,4.60481374,4.387108878,4.571339465,0.022188184,0.036092411,0.200567755,1
1.002407324,0.041415369,0.386004946,0.024574013,0.040718122,0.386004946,-0.587230068,2.346444094,0.17166455,0.930601663,0.005306231,0.160932209,1.049183131,0.199503451,0.641108816,1.10746911,5.416755671,-0.952587011,4.604868125,4.252272945,4.548001314,0.022077363,0.028646311,0.202213952,1
1.00396254,0.035978865,0.354485371,0.022651911,0.02264429,0.354485371,0.396212349,0.981825535,0.792505475,0.958874553,0.002174617,0.165400971,1.053737704,0.098419113,0.665967951,-0.48591238,0.35148959,-0.96413569,4.604916357,4.414873039,4.502520836,0.029502822,0.023490619,0.313517916,1
1.003811318,0.043062277,0.5068647,0.022652903,0.025654745,0.5068647,0.264478357,1.690933589,-0.429938809,0.958874553,0.0137596,0.193017718,1.053737704,0.141229195,0.762871992,-0.675918664,2.993274675,-0.783097704,4.60491601,4.454736665,4.559941505,0.034423,0.021955684,0.224910965,1
1.004926736,0.059369489,0.576876338,0.023396138,0.041824821,0.576876338,1.58748695,1.072787036,1.011427712,0.975411711,0.0137596,0.25798932,1.087800109,0.184846725,1.091451018,3.039089295,0.282207535,0.663382296,4.60490237,4.378616254,4.560742149,0.026390207,0.05370908,0.228059959,1
1.004210094,0.037693875,0.327325361,0.023646548,0.03084372,0.327325361,0.549027618,1.545536177,1.109941639,0.965792329,0.002406965,0.153947935,1.059652367,0.144628758,0.708137217,-0.443878944,2.207004701,0.686386223,4.604894076,4.314349849,4.538883675,0.030375719,0.032456952,0.168364362,1
0.996070834,0.021279282,0.284075076,0.011192838,0.010350415,0.284075076,-0.241437801,0.203964338,0.423595166,0.970405424,0.002208119,0.124123243,1.016061792,0.044038194,0.446050599,-0.299949517,-0.638840369,-0.529186328,4.60510699,4.476912813,4.567230633,0.012715814,0.013487757,0.100867217,1
1.00227944,0.031880669,0.345074886,0.017951581,0.017637791,0.345074886,0.809389189,1.396238898,0.349621287,0.972533161,0.002208119,0.124123243,1.04815939,0.089812868,0.584089161,-0.133150757,2.122765699,-0.311149237,4.605010539,4.465379282,4.558310817,0.024733227,0.016564563,0.140951769,1
